feature,importance
team_pace,34.4844671189785
expected_game_pace,22.210431277751923
venue_sog_bias,19.807647943496704
rest_days,11.841869831085205
is_defense,9.401819944381714
home_away,4.150823950767517
toi_per_game_l5,3.3112800121307373
isf_per_60_l10,2.926750063896179
toi_per_game_ewma,2.1053099632263184
icf_per_60_l10,1.8337199687957764
is_forward,0.14223100244998932
shots_per_game_l20,0.0
sh_toi_per_game_l10,0.0
projected_toi,0.0
lineup_confidence,0.0
games_played,0.0
toi_per_game_l20,0.0
back_to_back,0.0
toi_per_game_season,0.0
ev_toi_per_game_l10,0.0
pp_toi_per_game_l10,0.0
team_shot_share,0.0
opponent_shot_quality,0.0
shots_per_game_season,0.0
opponent_ca_per_60,0.0
opponent_sa_per_60,0.0
line_number,0.0
pp_unit,0.0
toi_per_game_l10,0.0
shooting_pct_l20,0.0
shots_per_game_l5,0.0
shots_per_game_l10,0.0
shots_per_game_ewma,0.0
projected_toi_std,0.0
